ALMGRU-TIPO;ALMGRU-GRUPO;ALMGRU-TITULO;
 1;    ;FLORETTE                ;
 1;C   ;VEGA COMERCIO           ;
 1;H   ;VEGA HOSTELERIA         ;
 2;    ;CHARCUTERIA             ;
 2;  18;BAJA 2018               ;
 3;    ;PLS HOSTELERIA          ;
12;   1;RETAIL                  ;
12;   2;FOOD SERVICE            ;
12;   3;HEURA                   ;
90;    ;ESPECIALES              ;
90;   1;REGALOS                 ;
90;   2;CESTAS NAVIDAD          ;
90;   3;JAMONES NAVIDAD         ;
90;   4;JAMONEROS,ARBOL,        ;
90;   6;GOURMET NAVID.          ;
90;   8;CATALOGOS DOMPAL        ;
90;  10;IBERCONSEIL NAVI        ;
90;  11;BACALAOS CATALOG        ;
90;  12;FERRARINI NAVIDA        ;
90;  17;TERBEKE NAVIDAD         ;
90;  27;SCHARA NAVIDAD          ;
90;  50;S.DALMAI NAVIDAD        ;
99;    ;ARTICULO DE BAJA        ;
99;  13;BAJA 2013               ;
99;  14;BAJA 2014               ;
99;  15;BAJA 2015               ;
99;  16;BAJA 2016               ;
99;  17;BAJA 2017               ;
99;  18;BAJA 2018               ;
99;  19;BAJA 2019               ;
99;  20;BAJA 2020               ;
99;  21;BAJA 2021               ;
L7;    ;LOTES NAVIDAD           ;
L7;  10;LOTES GRUP ALIME        ;
L7;  14;LOTES CAMPODULCE        ;
L7;  23;LOTES DOMPAL            ;
L7;  50;LOTES ST. DALMAI        ;
L7;  52;LOTE BODEGAS PIN        ;
L7;  57;LOTES REVISAN           ;
L7;  77;LOTES BELLOD            ;
